Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
STTFY,SmarTone Telecommunications Holdings Ltd.,,,5.23,0.08,35.55699,,,,,,,,,,,,,,OTC,Computer and Technology,6,Wireless Non-US ,,,,,,,,,,,1244.31
STWD,"STARWOOD PROPERTY TRUST, INC.",9.66,1.93,9.04,0.46,63.51699,0.57,20171201,-0.98,-3.85,0.95,0.51,3,0.5,1,0.53,9.64,9.44,2.2,NYSE,Finance,12,REIT and Equity Trust,11.76,20.37,9.02,20180508,0.99,0,0,2.18,2.2,1,5554.37
STX,Seagate Technology PLC,12.23,0.78,4.23,0.07,80.26799,1.48,20171201,0,4.83,3.09,1.41,6,1.3,7,1.17,12.24,14.22,4.87,NSDQ,Computer and Technology,6,Computer- Storage Devices,5.71,11.63,-3.31,20180425,0.07,-0.26,0,4.46,4.87,6,16967.17
STZ,Constellation Brands Inc,20.88,1.23,0.92,,50.326,2,20171101,0,-0.58,-1.45,1.74,7,2.55,3,2.72,23.34,27.37,10.87,NYSE,Consumer Staples,2,Beverages - Alcohol,6.95,14.35,11.88,20180329,-0.18,0,0,8.54,9.72,3,44177.75
STZ.B,Constellation Brands Inc,,,0.83,,50.326,2,20171101,,,,,,,,,,27.46,,NYSE,Consumer Staples,2,Beverages - Alcohol,,,,20180329,,,,,,,44529.93
SU,Suncor Energy  Inc.,16.19,1.98,3.55,0.14,22.759,0.62,20171201,0,10.91,19.58,0.55,5,0.47,5,0.34,16.85,21.69,2,NYSE,Oils-Energy,12,Oil and Gas - Integrated - Canadian,12.73,57.69,23.9,20180425,4.98,0,0,1.59,1.92,5,52970.19
SUBCY,Subsea 7 SA,15.57,,4.07,,4.2845,0.34,20170901,0,0,0,0.26,1,0.22,1,0.18,18.84,10.85,0.92,OTC,Oils-Energy,12,Oil and Gas - Field Services,-17.07,59.26,39.81,20180322,-8.98,0,,1.44,0.76,1,4687.94
SUGBY,Suruga Bank Ltd.,,,0.32,0.29,0,4.1,20170901,,,,,,,,,,13.59,,OTC,Finance,3,Financial - Savings and Loan,,,,20180320,,,,,,,5269.58
SUHJY,Sun Hung Kai Properties Ltd.,12.33,1.76,1.6,0.53,1.0512,,,,,,,,,,,12.61,,1.35,OTC,Finance,6,Real Estate - Operations,,,,,1.54,-2.88,2.58,1.15,1.32,,48234.73
SUI,"Sun Communities, Inc.",18.71,3.14,2.98,0.08,53.067,0.98,20171201,-0.17,-1.73,1.93,0.98,3,1.13,2,1.05,19.78,21.54,4.8,NYSE,Finance,12,REIT and Equity Trust - Residential,0,0.89,1.46,20180426,-0.15,0.84,0,4.16,4.54,2,7173.61
