Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"The Charles Schwab Corporation","SCHW",".53",".58","9","8",".63","8","1.61","2.4","2.8","30.55","20.86","17.9","1.23",".8",".27","0","-.08",".05","NYSE","12","Finance","Financial - Investment Bank","7.32","2.44","3.79","20180417","20171201",".44","1.05","0","0","20.41799","67471.77"
"Sands China Ltd.","SCHYY","","","","","","","","","","","","","","4.65","","","","","OTC","12","Consumer Discretionary","Hotels and Motels","","","","20180504","20170601",".41","","","","","42536.05"
"Service Corporation International","SCI",".43",".45","4","3",".36","3","1.51","1.82","1.98","24.17","20.77","19.04","1.72","1.8",".18","0","0","0","NYSE","12","Consumer Staples","Funeral Services","11.11","26.92","20.34","20180425","20171201",".5","0","0","0","68.98799","6974.84"
"Stepan Company","SCL","1.47","1.47","2","2","1.18","2","4.26","5.16","5.79","17.81","16.07","14.33","","1.08",".05","","0","0","NYSE","12","Basic Materials","Chemical - Diversified ","58.21","-13.21","15.7","20180424","20171201","1.06","0","0","0","26.58399","1868.44"
"Swisscom AG","SCMWY",".64","","1","","","","3.13","2.85","2.92","15.18","16.46","16.07","4.57","0",".13","0","0","0","OTC","12","Utilities","Diversified Communication Services","-7.81","","","20180502","20171201",".59","","","","47.31299","24305.5"
"comScore, Inc.","SCOR","-.14","-.4","1","1","-.43","1","2","-1.94","-1.4","","","","","0","-.7","","","","OTC","12","Business Services","Business - Services","","","","","","","","","",".31885","1271.52"
"Scor SE","SCRYY","","","","","","",".12",".4",".41","26.44","10.57","10.32","","3.29",".02","","0","0","OTC","12","Finance","Insurance - Multi line","","","","20180426","20171201",".16","","","","27.14599","8185.05"
"Steelcase Inc.","SCS",".16",".14","2","2",".28","2",".81",".98","1.18","15.11","14.18","11.78","","3.88",".03","","2.61","2.08","NYSE","2","Business Services","Business - Office Products","50","0","15.93","20180620","20180201",".24","0","-25.64","0","26.471","1614.28"
"SPORTS DIRECT","SDISY","","","","","","",".4",".54",".62","","19.89","17.32","1.42","0",".07","0","0","0","OTC","4","Consumer Discretionary","Leisure and Recreation Products","","","","","","","","","",".57722","2897.1"
"Sandvik AB","SDVKY",".19","","1","","","","1.04","1.11","1.13","19.99","16.28","15.92","1.71","1.39",".15","0","0","0","OTC","12","Industrial Products","Manufacturing - Tools & Related Products","42.11","","","20180423","20171201",".27","0","","","43.93999","22566.4"
"Sodexo SA","SDXAY","","","","","","","1.19","1.33","1.43","","14.46","13.45","2.41","2.86",".03","0","0","0","OTC","8","Business Services","Business - Services","","","","","","","","","","45.75299","14502.3"
"SPDR S&P Dividend ETF","SDY","","","","","","","","","","","","","","2.44","","","","","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","15326.5"
"Sea Limited Sponsored ADR","SE","-.64","-.65","2","2","-.61","2","-2.33","-2.28","-2.07","","","","","0","-1.35","0","-26.99","-18.15","NYSE","12","Computer and Technology","Internet - Services","-30.3","-41.18","","20180522","20171201","-.86","-12.94","-12.07","-20.4","60.47399","3486.22"
"SeaWorld Entertainment, Inc.","SEAS","-.76",".27","8","7",".98","7","-2.27",".35",".44","18.8","44.29","35.11","","0","-.16","","0","7.09","NYSE","12","Consumer Discretionary","Leisure and Recreation Services","-33.33","-17.95","43.95","20180508","20171201","-.24","0","0","0","83.94999","1409.24"
"Seaboard Corporation","SEB","","","","","","","","","","15.72","","","",".14",".04","","","","AMEX","12","Consumer Staples","Food - Miscellaneous","","","","20180502","20171201","74.69","","","","12.39099","4898.87"
"SolarEdge Technologies, Inc.","SEDG",".8",".56","3","3",".6","3","2.2","2.48","2.76","24.32","21.89","19.67",".91","0",".14","0","4.82","1.23","NSDQ","12","Oils-Energy","Solar","34.92","20","29.64","","20171201",".85","0","0","2.87","0","2379.99"
"Sealed Air Corporation","SEE",".5",".56","6","5",".66","5","1.8","2.42","2.78","23.28","17.51","15.22","1.55","1.51",".18","2.97","-.6",".55","NYSE","12","Industrial Products","Containers - Paper and Packaging","1.75","0","-1.89","20180508","20171201",".58",".66","0","0","95.498","7091.68"
"SEGRO PLC REIT","SEGXF","","","","","","",".25",".31",".33","","27.84","25.73","","0","","","0","0","OTC","12","Finance","REIT and Equity Trust - Other","","","","20180518","","","","","","","8514.85"
"SEI Investments Company","SEIC",".78",".81","3","3",".82","3","2.36","3.24","3.56","31.24","22.44","20.44","1.87",".82",".26","0","0","0","NSDQ","12","Finance","Financial - Investment Management","-4.92","10.53","3.75","20180418","20171201",".58","0","0","0","1.9909","11446.69"
"Seiko Epson Corp.","SEKEY",".34","","1","","","",".68",".93",".97","","9.39","9.01","1.34","1.04","","0","5.43","4.49","OTC","3","Computer and Technology","Office Automation and Equipment","44.44","","","20180410","20170901",".06","","","","13.819","6981.62"
"Select Medical Holdings Corporation","SEM",".28",".38","4","3",".18","3",".86","1.07","1.29","18.32","16.81","13.94","1.2","0",".04","0","0","0","NYSE","12","Medical","Medical - HMOs","63.16","-6.67","22.37","20180503","20171201",".31","0","0","0","78.06199","2407.17"
"Semgroup Corporation","SEMG",".05",".03","3","3",".18","3","-.27",".48","1.08","19.95","46.47","20.45","9.11","8.53","-.01","0","17.43","44.44","NYSE","12","Oils-Energy","Oil and Gas - Production and Pipelines","0","33.33","33.67","20180503","20171201",".03","25.49","566.67","44","63.241","1742.61"
"SendGrid, Inc.","SEND","-.01","-.04","6","3","-.03","3",".03","-.13","-.11","","","","","0","-.06","","0","0","NYSE","12","Computer and Technology","Communication - Network Software","","","","20180528","20171201",".13","0","-10","0","5.8105","1070.09"
"Stora Enso Oyj","SEOAY",".24","","1","","","",".98","1.24","1.25","17.9","14.73","14.61","1.96","3.94",".06","0","0","0","OTC","12","Basic Materials","Paper and Related Products","33.33","","","20180426","20171201",".31","","","","26.35099","14400.18"
"Spectra Energy Partners, LP","SEP",".82",".76","7","7",".74","6","3.47","3.1","2.92","8.31","10.62","11.27","","8.98",".31","","-1.54",".16","NYSE","12","Oils-Energy","Oil and Gas - Production Pipeline - MLB","-2.38","71.95","21.11","20180509","20171201",".82","-.5",".32","-.22","40.088","15952.72"
"SuperGroup PLC Unsponsored ADR","SEPGY","","","","","","","1.15","1.33","1.65","","18.89","15.23","","1.42",".09","","0","0","OTC","4","Consumer Discretionary","Textile - Apparel","","","","","","","","","","","2051.34"
"SPECTRIS PLC","SEPJY","","","","","","",".91","1.05","1.16","","17.86","16.24","","1.61","","","0","0","OTC","12","Computer and Technology","Electronics - Miscellaneous Products","","","","20180404","","","","","","","4493.87"
"ServiceMaster Global Holdings, Inc.","SERV",".4",".85","5","5",".85","5","2.09","2.57","2.9","24.09","19.81","17.5","","0",".18","","0","0","NYSE","12","Business Services","Building Products - Maintenance Service","2.94","19.67","3.02","20180426","20171201",".35","0","0","0","69.37","6874.27"
"Stifel Financial Corporation","SF","1","1.25","1","1","1.31","1","3.44","5","5.5","14.1","11.28","10.26",".94",".85",".06","0","-1.79","-1.96","NYSE","12","Finance","Financial - Investment Bank","59.78","5.95","21.04","20180507","20171201","1.47","-9.91","0","0","44.74399","4053.83"
"ServisFirst Bancshares, Inc.","SFBS",".58",".59","1","1",".62","1","1.82","2.48","2.81","22.66","16.32","14.43","","1.08",".33","","0","0","NSDQ","12","Finance","Financial - Savings and Loan","-6.25","0",".25","20180416","20171201",".45","0","0","0","9.6412","2155.2"
"Stitch Fix, Inc.","SFIX",".06",".03","4","5",".04","5","",".14",".09","","160.31","230.63","10.69","0","0","0","35.71","-34.92","NSDQ","7","Retail-Wholesale","Retail - Apparel and Shoes","16.67","","","","20180101",".07","9.09","-40","-20","0","2129.37"
"Ship Finance International Limited","SFL",".2",".21","3","3",".23","3","1.22",".92","1.01","11.92","15.6","14.11","","9.79",".27","","0","0","NYSE","12","Transportation","Transportation - Shipping","-4","14.81","6.83","20180529","20171201",".24","0","0","0","49.89899","1471.91"
"Shutterfly, Inc.","SFLY","-.95","-.49","3","3","-.74","3",".45","2.09","2.52","72.75","38.25","31.72","","0",".03","","0","0","NSDQ","12","Computer and Technology","Internet - Content","6.87","5.19","12.99","20180424","20171201","3.11","0","0","0","34.685","2602.34"
"Sprouts Farmers Market, Inc.","SFM",".48",".35","9","8",".26","8","1","1.26","1.43","23.57","18.82","16.7","1.45","0",".03","0",".35","0","NSDQ","12","Retail-Wholesale","Food - Natural Foods Products","6.67","35.29","17.94","20180503","20171201",".16","-.23","-.46","-.14","42.118","3167.28"
"Simmons First National Corporation","SFNC",".51",".58","2","2",".6","2","1.67","2.31","2.52","16.51","12.1","11.06","","2.15",".17","","0",".07","NSDQ","12","Finance","Banks - Southeast","7.78","-1.15",".15","20180423","20171201",".49","0","0","0","42.178","2573.83"
"Safestore Holdings PLC","SFSHF","","","","","","",".3",".36",".38","","19.83","18.54","","0","","","0","0","OTC","10","Finance","REIT and Equity Trust - Other","","","","","","","","","","","1499.37"
"Softbank Corp.","SFTBY","","","","","","","","","","","","","",".19","","","","","OTC","3","Computer and Technology","Wireless Non-US ","","","","20180509","20171201","3.58","","","","67.32499","76918.77"
"SouFun Holdings Limited","SFUN",".07","-.09","1","1","","",".08",".27",".4","514","19.04","13.01","","0",".04","","3.95","-5.26","NYSE","12","Business Services","Business - Services","-57.14","0","10.72","20180619","20171201",".03","0","","","34.094","2276.61"
"Singapore Telecommunications Ltd.","SGAPY","","","","","","","","","","15.49","","","","4.85","","","","","OTC","3","Utilities","Diversified Communication Services","","","","20180516","20171201",".41","","","","23.55299","42213.61"
"SES S.A.","SGBAF","","","","","","","1.01",".65",".74","","20.63","18.12","10.31","0",".29","0","0","0","OTC","12","Computer and Technology","Satellite and Communication","","","","20180525","","","","","","","4464.23"
"Seattle Genetics, Inc.","SGEN","-.41","-.39","8","7","-.38","7","-.92","-1.57","-.8","","","","","0","-.26","","2.22",".8","NSDQ","12","Medical","Medical - Biomedical and Genetics","4.65","52.5","16","20180426","20171201","-.41","3.83","2.04","-1.04","0","7919.07"
"Shanghai Industrial Holdings Ltd.","SGHIY","","","","","","","","","","","","","","4.34","","","","","OTC","12","Conglomerates","Diversified Operations","","","","20180404","","","","","","","2854.72"
"Sangamo Therapeutics, Inc.","SGMO","-.05","-.1","4","4","-.05","4","-.73","-.15","-.62","","","","","0","-1.49","","26.71","20","NSDQ","12","Medical","Medical - Biomedical and Genetics","16.67","25","19.83","20180509","20171201","-.15","-35","40.58","48.72","11.63099","1463.45"
"Scientific Games Corp","SGMS","-.24",".03","5","4","-.01","4","-2.53",".02","1","","1919.97","41.53","","0","-.08","",".5","0","NSDQ","12","Computer and Technology","Computer - Services","0","-36.36","-10.84","20180426","20171201","-.28","0","-18.75","71.43","","3742.54"
"Sage Group PLC","SGPYY","","","","","","","1.55","1.91","2.05","","19.47","18.14","","1.99",".17","",".24","1.06","OTC","9","Computer and Technology","Business - Software Services","","","","","","","","","","43.9","10070.28"
"SGS SA","SGSOY","","","","","","",".9","1.02","1.11","","24.02","22.07","4","1.89",".1","0","0","0","OTC","12","Business Services","Business - Services","","","","","","","","","","","18700.85"
"Surgutneftegaz OAO","SGTZY","","","","","","","","","","","","","","1.07","","","","","OTC","12","Oils-Energy","Oil and Gas - Integrated - International","","","","20180425","","","","","","","17648.64"
"Shaftesbury PLC","SHABF","","","","","","",".22",".25",".28","","56.33","50.18","","0","","","0","0","OTC","9","Finance","Real Estate - Operations","","","","","","","","","","","4240.6"
"Shake Shack, Inc.","SHAK",".09",".17","7","7",".14","7",".52",".46",".68","75.7","94.39","63.86","4.2","0","0","0","0","0","NYSE","12","Retail-Wholesale","Retail - Restaurants","100","13.33","40.83","20180503","20171201",".1","0","0","0","0","1587.01"
"Shangri-La Asia Ltd.","SHALY","","","","","","","","","","","","","",".92","","","","","OTC","12","Consumer Discretionary","Hotels and Motels","","","","20180405","","","","","","","6976.45"
"Sharp Corp.","SHCAY","","","","","","","","","","","","","","0","","","","","OTC","3","Consumer Discretionary","Audio Video Production","","","","20180427","20170601",".05","","","","59.70999","14510.98"
"Shin-Etsu Chemical Co.","SHECY","","","","","","","","","1.66","23.37","","14.78","",".42","","","0","","OTC","3","Basic Materials","Chemical - Diversified ","","","","20180427","20170901",".3","","","",".39403","42415.6"
"Shenandoah Telecommunications Co","SHEN",".09",".14","2","2",".14","2",".16",".46",".8","143.46","81.09","46.63","",".7",".11","","0","26.03","NSDQ","12","Utilities","Diversified Communication Services","180","800","276.25","20180503","20171201",".14","72.73","64.71","52.63","68.385","1847.36"
"Shinhan Financial Group Co Ltd","SHG","","","","","","","6.11","5.83","6.11","3.59","7.19","6.86","1.65","0",".15","0","0","0","NYSE","12","Finance","Banks - Foreign","","","","20180521","20170601","3.37","","","","60.36999","19887.95"
"Sun Hung Kai and Co.","SHGKY","","","","","","","","","","","","","","1.98","","","","","OTC","12","Finance","Financial - Miscellaneous Services","","","","20180404","","","","","","","1335.32"
"SINOPEC Shangai Petrochemical Company, Ltd.","SHI","","","","","","","8.97","9.51","","7.66","6.55","","","5.23",".08","","","3.37","NYSE","12","Basic Materials","Chemical - Diversified ","","","","20180501","20170901","2.13","","","","0","6729.48"
"A. Schulman, Inc.","SHLM",".36",".66","3","3",".63","3","1.67","2.21","2.7","30.9","19.46","15.89","1.99","1.91",".01","0","-.09",".3","NSDQ","8","Basic Materials","Chemical - Plastic","-130.56","25","-21.39","20180627","20180201","-.11","0","-2.93","-2.07","80.594","1268.1"
"Shell Midstream Partners, L.P.","SHLX",".2",".41","4","4",".43","4","1.24","1.47","1.84","15.84","13.84","11.04","1.38","6.57",".79","0",".55","-3.46","NYSE","12","Oils-Energy","Oil and Gas - Production Pipeline - MLB","9.38","6.9","1.03","20180504","20171201",".35","-.74","20.15","13.82","97.693","4538.89"
"SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond ETF","SHM","","","","","","","","","","","","","","1.09","","","","","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","3711.83"
"Shimizu Corporation Unsponsored ADR","SHMUY","","","","","","","","","","","","","",".77","","","","","OTC","3","Construction","Building Products - Miscellaneous","","","","20180510","20170901",".64","","","","24.849","6972.35"
"SCHRODERS PLC","SHNWF","","","","","","","2.78","3","3.21","","14.98","14","4.99","0","","0","0","0","OTC","12","Finance","Financial - Investment Management","","","","20180607","","","","","","","10159.69"
"Sunstone Hotel Investors, Inc.","SHO",".19",".36","8","7",".31","7","1.2","1.12","1.17","12.26","13.2","12.69","2.64","1.35",".12","0","-.01","-.06","NYSE","12","Finance","REIT and Equity Trust - Other","7.69","3.33","8.43","20180501","20171201",".28","0",".15",".23","27.99799","3341.53"
"Steven Madden, Ltd.","SHOO",".49",".59","7","7",".98","7","2.23","2.67","2.92","20.65","17.24","15.76","1.48","1.74",".08","0","0","0","NSDQ","12","Consumer Discretionary","Shoes and Retail Apparel ","2.13","0","6.19","20180420","20171201",".48","0","0","0","0","2706.91"
"Shopify Inc.","SHOP","-.05","-.23","13","8","-.22","8",".06","-.8","-.67","","","","","0","-.06","0","1.89",".31","NYSE","12","Computer and Technology","Internet - Services","200","350","174.84","20180501","20171201",".15","0",".55","0","1.47329","11727.56"
"Shire plc","SHPG","3.58","3.77","6","5","3.83","5","15","15.23","16.27","10.35","10.29","9.63","1.23",".67",".28","-26.43","0","0","NSDQ","12","Medical","Medical - Drugs","3.11","4.67","6.55","20180426","20171201","3.98","0","0","0","31.65099","47548.18"
"Shun Tak Holdings Ltd.","SHTGY","","","","","","","","","","","","","","1.69","","","","","OTC","12","Transportation","Transportation - Shipping","","","","20180402","","","","","","","1214.77"
"iShares Short Treasury Bond ETF","SHV","","","","","","","","","","","","","",".89","","","","","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","12251"
"The Sherwin-Williams Company","SHW","3.13","5.76","9","9","5.95","9","15.02","19.09","21.71","26.62","20.2","17.77","1.72",".89",".12",".92","-.2","-.03","NYSE","12","Construction","Paints and Related Products","-7.23","1.06",".76","20180424","20171201","2.95","0","0","0","72.80699","36254.43"
"Showa Denko K.K.","SHWDY","","","","","","","1.9","7.35","7.02","17.55","6.11","6.4","","0","","","0","0","OTC","12","Basic Materials","Chemical - Diversified ","","","","20180509","20170601",".08","","","","","67265.29"
"Shandong Weigao Medical Polymer Co.","SHWGF","","","","","","","","","","","","","","0","","","","","OTC","12","Medical","Medical - Products","","","","20180404","","","","","","","1205.59"
"iShares 1-3 Year Treasury Bond ETF","SHY","","","","","","","","","","","","","","1.11","","","","","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","11964.12"
"Shizuoka Bank Ltd.","SHZUY","","","","","","","","","","","","","",".78","","","","","OTC","3","Finance","Financial - Savings and Loan","","","","20180706","","","","","","26.818","5766.17"
"National Steel Company","SID","","","","","","","","","","","","","","0",".01","","","","NYSE","12","Basic Materials","Steel - Producers","","","","","","","","","","73.496","3419.98"
"Siemens AG","SIEGY",".97","1","1","1","1.09","1","4.74","4.72","","14.97","13.54","","1.35","2.65",".07","0","","-6.53","OTC","9","Computer and Technology","Electronics - Miscellaneous Products","5.48","-2.22","4.41","20180503","20171201","1.54","0","0","0","37.553","108652.09"
"Shanghai Electric Group Co., Ltd.","SIELY","","","","","","","","","","","","","","0","","","","","OTC","12","Industrial Products","Manufacturing - Electrical Utilities ","","","","","","","","","","","1025.66"
"Signet Jewelers Limited","SIG","4.26","-.11","5","1",".66","3","6.49","3.96","3.89","5.51","9.46","9.63","1.18","3.31",".08","0","-25.95","-34.37","NYSE","1","Retail-Wholesale","Retail - Jewelry",".47","0","-4.14","20180524","20180101","4.28",".38","-112.94","-35.6","34.243","2265.11"
"Selective Insurance Group, Inc.","SIGI",".94",".96","2","1",".97","1","3.05","3.88","4.13","19.05","15.34","14.41",".76","1.21",".07","13.56","0","0","NSDQ","12","Finance","Insurance - Property and Casualty","7.5","4.35","4.21","20180502","20171201",".86","0","0","0","20.40399","3492.39"
"Grupo Simec, S.A. de C.V.","SIM",".17",".17","1","1",".2","1",".77",".71",".92","","13.63","10.52","","0",".04","","0","0","AMEX","12","Basic Materials","Steel - Producers","","","","20180504","20170901",".25","0","0","0","0","1605.94"
"Silicon Motion Technology Corporation","SIMO",".65",".77","6","1",".88","1","2.61","2.97","3.6","22.6","16.05","13.24","","2.08",".14","","0","0","NSDQ","12","Computer and Technology","Electronics - Semiconductors","25.4","0","6.74","20180426","20171201",".79","0","0","0","0","1684.44"
"Sina Corporation","SINA",".44",".61","2","2",".81","2","2.8","2.97","4.49","54.01","32.59","21.51","","0",".1","","-5.47","-4.4","NSDQ","12","Computer and Technology","Internet - Content","0","5.48","41.22","20180515","20171201",".79","46.67","-2.42","0","19.64399","6914.07"
"Select Income REIT","SIR",".65",".65","3","2",".65","2","2.68","2.73","2.86","7.26","7.04","6.72","","10.61",".14","","0","0","NSDQ","12","Finance","REIT and Equity Trust - Residential","-1.45","-1.45","-6.22","20180424","20171201",".68","0","0","0","60.783","1720.83"
"Sirius XM Holdings Inc.","SIRI",".05",".05","7","6",".06","6",".19",".24",".28","32.95","26.33","22.46","1.76",".7",".12","0","0","-.47","NSDQ","12","Consumer Discretionary","Broadcast Radio and Television","0","50","12.5","20180425","20171201",".05","0","-2.94","0","","28119.07"
"SiteOne Landscape Supply, Inc.","SITE","-.24","1.45","4","4",".67","4","1.38","1.9","2.44","62.93","40.74","31.76","","0",".03","","0","0","NYSE","12","Industrial Products","Industrial Services","125","-25.45","24.91","20180509","20171201",".01","0","0","0","68.692","3097.94"
"SVB Financial Group","SIVB","3.18","3.36","11","10","3.61","10","9.63","13.95","16.57","23.82","16.92","14.25","1.54","0",".24","0","1.54",".67","NSDQ","12","Finance","Banks - West","11.15","21.83","12.21","20180426","20171201","2.89","-.29","1.14","1.21","13.868","12485.21"
"Six Flags Entertainment Corporation New","SIX","-.79",".86","9","9","2.29","9","2.13","2.69","2.95","28","23.13","21.04","","5.02",".2","","0","2.44","NYSE","12","Consumer Discretionary","Leisure and Recreation Services","25","17.22","7.76","20180424","20171201",".15","0","0","0","","5255.75"
"South Jersey Industries, Inc.","SJI",".96",".11","3","3","0","3","1.16","1.57","1.68","24.33","19.06","17.77","1.91","3.74","0","0","1.61","0","NYSE","12","Utilities","Utility - Gas Distribution","21.95","-150","-22.29","20180508","20171201",".5","13.89","-5.56","-100","48.50099","2381.48"
"The J. M. Smucker Company","SJM","2.14","2.22","7","7","2.03","5","7.63","8.25","9.22","15.83","15.03","13.44","1.91","2.52",".08","0","-.37",".02","NYSE","4","Consumer Staples","Food - Miscellaneous","15.74","6.88","5.11","20180614","20180101","2.5","-.74","0","-.2","37.52999","14079.46"
"SJM Holdings Ltd.","SJMHF","","","","","","","","","","","","","","0","","","","","OTC","12","Consumer Discretionary","Gaming","","","","20180424","","","","","","","4894.5"
"Shaw Communications Inc.","SJR",".24",".25","2","1",".23","1","1.03",".94","1.08","21.04","20.37","17.77","4.07","4.94",".17","0","0","0","NYSE","8","Consumer Discretionary","Cable Television","-24","4.35","-4.91","20180412","20171101",".19","0","0","0","41.005","9566.19"
"SJW Corporation","SJW",".19",".76","1","1","1","1","2.48","2.52","2.72","23.5","21.08","19.53","","2.11",".15","","0","0","NYSE","12","Utilities","Utility - Water Supply","4.55","18.99","2.9","20180425","20171201",".46","0","0","0","48.205","1092.04"
"AB SKF","SKFRY","","","","","","","1.32","1.64","1.77","14.32","12.27","11.4","2.01","2.91",".07","0","0","0","OTC","12","Industrial Products","Metal Products - Procurement and Fabrication","","","","20180426","20171201",".5","","","","38.852","9191.24"
"Sekisui House Ltd.","SKHSY","","","","","","","","","","9.49","","","","0","","","","","OTC","1","Construction","Building Products - Home Builders","","","","20180412","20170701",".58","","","","21.91399","12522.1"
"SK Telecom Co., Ltd.","SKM","","","","","","","3.79","4","","5.07","6.02","","",".24",".15","","","0","NYSE","12","Computer and Technology","Wireless Non-US ","","","","20180425","20171201","2","","","","24.36499","15297.57"
"Tanger Factory Outlet Centers, Inc.","SKT",".58",".6","4","3",".61","3","2.07","2.45","2.52","10.85","9.29","9.03","1.76","6.01",".14","0","-1.33",".27","NYSE","12","Finance","REIT and Equity Trust - Retail","4.76","3.85","3.02","20180501","20171201",".66","-2.1","0","1.67","74.22899","2153.58"
"Skechers U.S.A., Inc.","SKX",".74",".55","5","4",".72","4","1.7","2.3","2.63","22.62","17.5","15.34","1.17","0",".04","0","0","0","NYSE","12","Consumer Discretionary","Shoes and Retail Apparel ","61.54","37.21","23.55","","20171201",".21","0","0","0","3.52099","6450.26"
"British Sky Broadcasting Group PLC","SKYAY","","","","","","","2.99","3.63","3.96","","20.22","18.53","1.56","1.76",".05","0","0","0","OTC","6","Consumer Discretionary","Broadcast Radio and Television","","","","20180125","","","","","","","31336.68"
"SkyWest, Inc.","SKYW",".82","1.23","4","3","1.35","3","3.33","4.39","5.04","16.01","12.48","10.87","",".73",".13","","0","0","NSDQ","12","Transportation","Transportation - Airline","14.08","3.06","12.84","20180426","20171201",".81","0","0","0","57.54","2856.03"
"Silicon Laboratories, Inc.","SLAB",".76",".6","4","4",".68","4","3.18","2.52","2.92","37.5","34.86","30.03","2.32","0",".06","0","0","0","NSDQ","12","Computer and Technology","Semiconductor - Analog and Mixed","8.14","11.11","8.49","20180425","20171201",".93","0","0","0","26.402","3788.26"
"Schlumberger Limited","SLB",".38",".47","12","10",".58","10","1.46","2.11","3.15","42.91","30.46","20.44","5.08","3.11","-.05","0","-1.76","-2.27","NYSE","12","Oils-Energy","Oil and Gas - Field Services","9.09","0","6.44","20180420","20171201",".48","-5.52","-4.46","-2.05","28.531","89069.93"
"U.S. Silica Holdings, Inc.","SLCA",".49",".76","8","6",".85","6","1.5","3.07","3.03","16.71","8.22","8.33","",".99",".12","","-2.1","-.27","NYSE","12","Basic Materials","Mining - Miscellaneous","-7.27","8.16","13.4","20180424","20171201",".51","-1.26","-1.51","-4.31","27.579","2032.02"
"Sun Life Financial Inc.","SLF",".89",".92","3","3",".93","3","3.28","3.66","3.94","12.64","11.03","10.22","1.58","3.61",".08","0","0","0","NYSE","12","Finance","Insurance - Life Insurance","0","6.41","2.97","20180508","20171201",".83","0","0","0","17.093","24524.96"
"Standard Life PLC Unsponsored ADR","SLFPY","","","","","","","1.57","1.46","1.3","","14.34","16.1","","4.6","","","-22.16","-7.01","OTC","12","Finance","Financial - Miscellaneous Services","","","","20180406","","","","","","","15588.35"
"SL Green Realty Corporation","SLG","1.64","1.7","9","7","1.7","7","6.45","6.75","7","14.68","14.01","13.51","2.33","3.44",".07","0",".29","-.01","NYSE","12","Finance","REIT and Equity Trust - Other","0","-5.1","1.2","20180418","20171201","1.6","-.27","0","0","29.391","8537.71"
"Silgan Holdings Inc.","SLGN",".35",".53","6","5",".82","5","1.64","2.09","2.23","16.8","13.19","12.33","1.32","1.45",".07","0","0","0","NSDQ","12","Industrial Products","Containers - Metal and Glass","0","-4.35","3.16","20180425","20171201",".32",".47","0","0","76.095","3041.11"
"SLM Corporation","SLM",".24",".24","5","5",".24","5",".72",".99","1.18","15.58","11.44","9.62",".54","0",".2","0","-.2","0","NSDQ","12","Finance","Financial - Consumer Loans","0","0","10","20180418","20171201",".19","0","0","0","56.96599","4929.45"
"Soitec SA","SLOIF","","","","","","","","","","","","","","0","","","","","OTC","3","Computer and Technology","Electronics - Semiconductors","","","","","","","","","","","2352.6"
"SM Energy Company","SM","-.04","-.07","11","10",".04","10","-.9",".16","1.4","","111.48","12.83","11.15",".56","-.14","0","1.2","43.21","NYSE","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","46.67","21.88","54.64","20180501","20171201","-.08","-22.5","-6.56","59.09","54.84799","2002.55"
"Smc Corporation","SMCAY","","","","","","","1","1.18","1.28","19.95","16.23","14.96","1.18",".35","","6.2","7.56","9.26","OTC","3","Computer and Technology","Electronics - Miscellaneous Products","","","","20180511","20170901",".26","","","",".4589","25802.46"
"Sumitomo Mitsui Financial Group Inc","SMFG","","","","","","",".93",".95",".95","7.46","8.72","8.72","","1.48","","","0","0","NYSE","3","Finance","Banks - Foreign","","","","20180521","20171201",".3","","","","48.56","58541.88"
"SMURFIT KAPPA","SMFKY",".68","","1","","","","2.16","2.74","2.86","21.65","15.96","15.29","","1.46",".05","","0","0","OTC","12","Basic Materials","Paper and Related Products","-13.24","3.33","-3.5","20180504","20171201",".59","0","","","51.77899","10355.4"
"Scotts Miracle-Gro Company (The)","SMG","3.43","2.78","6","5","-.49","5","3.89","4.7","5.16","20.58","17.81","16.24","1.6","2.53",".08",".63",".03",".09","NYSE","9","Basic Materials","Fertilizers","-17.39","13.33","-1.31","20180501","20171201","-1.08","-.24","0","0","76.968","4768.52"
"San Miguel Corp.","SMGBY","","","","","","","","","","","","","",".7","","","","","OTC","12","Consumer Staples","Food - Miscellaneous","","","","20180511","20170901",".5","","","","41.54899","6438.65"
"Smiths Group PLC","SMGZY","","","","","","","1.18","1.35","1.54","","15.75","13.84","2.16","1.74",".17","0","7.96","3.05","OTC","7","Business Services","Technology Services","","","","20180323","","","","","","43.166","8416.06"
