Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Becton, Dickinson and Company","BDX","2.6","2.87","13","11","2.96","11","9.46","10.95","12.62","22.35","19.69","17.08","1.56","1.39",".09","0",".19",".07","NYSE","9","Medical","Medical - Dental Supplies","3.33",".84","2.03","20180503","20171201","2.48","-.04","-.04","-.03","50.978","57375.15"
"BioTelemetry, Inc.","BEAT",".25",".3","4","3",".27","3",".83","1.25","1.45","35.17","24.52","21.05","1.54","0","-.06","0","-2.42","-2.31","NSDQ","12","Medical","Medical Services","52.38","-33.33","8.81","20180502","20171201",".32","1.71",".56","-8.47","44.323","1001.42"
"Beacon Roofing Supply, Inc.","BECN","-.08","1.35","10","10","1.52","11","2.19","3.56","4.65","22.15","15.01","11.48",".46","0",".02","0","0","-.13","NSDQ","9","Retail-Wholesale","Building Products - Retail","23.64","-1.06","12.31","20180503","20171201",".68","-7.89","0","0","52.21099","3631.11"
"Bright Scholar Education Holdings Ltd.","BEDU","","","","","","","","","","","","","","0","","","","","NYSE","12","Consumer Discretionary","Schools","","","","","","","","","","","1930.38"
"Belmond Ltd.","BEL","-.12",".16","2","2",".22","2",".13",".17",".22","91.67","64.71","51.16","","0","-.08","","0","0","NYSE","12","Consumer Discretionary","Hotels and Motels","-20","-16.67","-5.95","20180514","20171201","-.06","0","0","0","50.069","1126.34"
"Franklin Resources, Inc.","BEN",".78",".8","5","5",".81","5","2.97","3.26","3.52","10.68","10.2","9.44","1.12","2.77",".27","0","0","0","NYSE","9","Finance","Financial - Investment Management","17.33","5.56","8.34","20180427","20171201",".88","0","0","0","21.474","18327.61"
"Brookfield Renewable Partners L.P.","BEP",".05",".16","1","1","-.09","1","-.63",".12",".2","","252.25","151.35","","6.48","0","","0","0","NYSE","12","Utilities","Utility - Electric Power","-100","62.5","","20180502","20170901","-.14","0","0","0","41.4","5460.34"
"BPC Acquisition Corp","BERY",".89","1.14","7","6","1.09","6","3.02","3.79","4.12","16.58","14.26","13.11",".71","0",".05","0","0","0","NYSE","9","Industrial Products","Containers - Paper and Packaging","3.08","10.13","10.79","20180502","20171201",".67","0","0","0","82.415","7091.36"
"BE Semiconductor Industries NV","BESIY","","","","","","","","","","24.86","","","","1.28",".29","","","","OTC","12","Computer and Technology","Electronics - Manufacturing Machinery","","","","20180424","20170901","1.53","","","","38.10499","4020.11"
"Brown Forman Corporation","BF.A","","","","","","","","1.46","","33.08","36.56","","","1.19",".17","","","-6.25","NYSE","4","Consumer Staples","Beverages - Alcohol","","","","20180606","20180101",".44","","","","59.576","25558.4"
"Brown-Forman Corporation","BF.B",".41",".24","6","6",".4","4","1.39","1.48","1.78","33.84","36.82","30.52","","1.16",".17","","-2.12","-7.32","NYSE","4","Consumer Staples","Beverages - Alcohol","7.32","16.98","9.31","20180606","20180101",".44","0","-25.58","0","59.576","26144.51"
"Bright Horizons Family Solutions Inc.","BFAM",".71",".81","3","1",".68","1","2.64","2.93","3.38","37.69","32.8","28.43","2.19","0",".09","0","0","0","NYSE","12","Consumer Discretionary","Schools","7.35","1.64","5.18","20180503","20171201",".73","0","0","0","58.27099","5628.19"
"BBVA Banco Frances S.A.","BFR",".36",".39","1","1",".41","1","1.16","1.6","1.9","","14.5","12.21","","1.08",".16","","0","0","NYSE","12","Finance","Banks - Foreign","0","-128.57","","20180510","20170901",".32","0","0","0","2.28909","4151.85"
"Saul Centers, Inc.","BFS",".81",".81","3","3",".81","3","3.2","3.24","3.4","15.61","15.34","14.62","3.07","4.19",".21","0","-.49","-.41","NYSE","12","Finance","REIT and Equity Trust - Retail","-1.3","-2.53","-.99","20180503","20171201",".76",".83","0","-.41","70.91899","1092.3"
"Bunge Limited","BG",".31",".81","3","3","1.19","3","2.62","3.87","4.61","38.96","19.53","16.38","","2.43","0","","-3.53","-1.83","NYSE","12","Basic Materials","Agriculture - Products","-54.73","-5.06","-8.99","20180502","20171201",".67","-2.08","-.41","-2.26","36.12099","10635.51"
"General Cable Corporation","BGC",".23","","1","","","","","","","44.55","","","","2.45","-.01","","","","NYSE","12","Industrial Products","Wire and Cable Products","-52.17","107.69","-19.78","20180502","20171201",".03","","","","88.74099","1488.43"
"BGC Partners, Inc.","BGCP",".3",".28","1","1",".44","1","1.04","1.37","1.48","11.86","9.61","8.89","","5.47",".02","","-1.33","1.48","NSDQ","12","Finance","Financial - Investment Bank","25","","","20180503","20171201",".35","25","12","-10.2","59.82099","4030.13"
"BeiGene, Ltd.","BGNE","-1.94","-1.9","2","2","-1.92","2","-2.04","-7.69","-7.9","","","","","0","-.39","","-23.82","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","-25.86","277.62","48.8","20180509","20171201","-2.19","0","0","0","18.517","8810.37"
"B&G Foods, Inc.","BGS",".5",".42","2","2",".57","2","2.12","2.12","2.28","11.68","11.65","10.84","","7.55",".13","","0","0","NYSE","12","Consumer Staples","Food - Miscellaneous","-3.39","14.58",".08","20180503","20171201",".57","0","0","0","71.57199","1639.2"
"Benchmark Electronics, Inc.","BHE",".36",".36","1","1","","","","","","18.19","","","","2.06","-.01","","","","NYSE","12","Computer and Technology","Electronics - Manufacturing Services","36.11","14.71","24.18","20180425","20171201",".49","0","0","","12.70499","1418.01"
"Brighthouse Financial, Inc.","BHF","2.1","2.22","4","4","2.27","4","1.51","8.98","9.48","","5.6","5.3",".42","0","-.06","0","-3.44","-3.48","NSDQ","12","Finance","Insurance - Life Insurance","-82.46","13.95","","20180507","20171201",".37","-4.1","-4.51","-4.43","19.85499","6017.4"
"Baker Hughes Incorporated","BHGE",".07",".15","11","9",".25","9",".44",".79","1.53","591.6","37.48","19.32","4.69","7.3","0","14.29","-1.71","-2.27","NYSE","12","Oils-Energy","Oil and Gas - Field Services","7.14","-58.33","-34.75","20180420","20171201",".15","-15","0","-1.76","13.87699","12499.98"
"BOC Hong Kong  Ltd.","BHKLY","","","","","","","","","","","","","","3.15","","","","","OTC","12","Finance","Banks - Foreign","","","","20180330","","","","","","","49266.51"
"Berkshire Hills Bancorp, Inc.","BHLB",".64",".68","3","3",".7","3","2.28","2.72","3.08","16.26","13.75","12.13","","2.35",".11","",".54","0","NYSE","12","Finance","Financial - Savings and Loan","1.75","0",".88","20180423","20171201",".58",".52","0","0","23.89399","1696.8"
"BOOHOO COM PLC","BHOOY","","","","","","",".75","1.08","1.4","","40.35","31.02","","0","","","0","0","OTC","2","Retail-Wholesale","Internet - Commerce","","","","","","","","","","","2504.28"
"BHP Billiton Limited","BHP","","","","","","","2.69","3.36","2.77","","13.01","15.77","2.46","5.04",".15","0","0","0","NYSE","6","Basic Materials","Mining - Miscellaneous","","","","","","","","","","29.25099","70064.02"
"Sotheby's","BID","-.21","","1","","","","2.2","2.51","2.85","23.27","20.77","18.29","","0",".12","","0","0","NYSE","12","Business Services","Auction and Valuation Services","5","34.78","22.39","20180509","20171201","1.47","0","","","57.929","2734.79"
"Baidu, Inc.","BIDU","1.73","2.07","4","2","2.3","2","9.26","7.78","9.53","26.81","28.24","23.07","1.36","0",".22","0","0","0","NSDQ","12","Computer and Technology","Internet - Services","11.71","77.63","43.3","20180426","20171201","2.29","0","0","0","28.18099","76224.79"
"The Boulder Growth & Income Fund, Inc","BIF","","","","","","","","","","","","","","3.8","","","","","NYSE","6","Finance","Financial - Investment Funds","","","","","","","","","","","1137.87"
"Big Lots, Inc.","BIG","2.43","1.21","8","8",".76","8","4.3","4.88","5.3","9.68","8.82","8.12",".65","2.79",".04","0","-7.21","-3.47","NYSE","1","Retail-Wholesale","Retail - Discount Stores","6.2","20","12.32","20180525","20180101","2.57",".26","-7.61","-4.45","22.982","1809.94"
"Biogen Inc.","BIIB","5.95","6.34","28","26","6.32","26","21.98","24.82","25.95","11.81","10.38","9.93","1.42","0",".21","0",".05","-.03","NSDQ","12","Medical","Medical - Biomedical and Genetics","-3.31","10.7","6.91","20180424","20171201","5.26","0","-.04","-.05","32.02399","54509.21"
"BILIBILI INC","BILI","","","","","","","","","","","","","","0","","","","","NSDQ","12","Computer and Technology","Internet - Services","","","","","","","","","","","2112.71"
"Bio-Rad Laboratories, Inc.","BIO",".98",".93","2","2","1.53","2","2.69","5.75","7.41","71.79","42.45","32.92","2.12","0",".05","0","-2.39","-1.93","NYSE","12","Medical","Medical - Products","17.19","175.76","59.22","20180503","20171201","1.5","-6.67","-21.17","4.66","12.91499","7265.15"
"Bio-Rad Laboratories, Inc.","BIO.B","","","","","","","","","","73.79","","","","0",".05","","","","NYSE","12","Medical","Medical - Biomedical and Genetics","","","","20180503","20171201","1.5","","","","12.91499","7467.54"
"Brookfield Infrastructure Partners LP","BIP",".86",".91","2","2",".87","2","3.13","3.53","3.95","180.87","11.8","10.52","1.18","4.52",".04","0","0","0","NYSE","12","Utilities","Utility - Electric Power","-2.44","-1.22","-.92","20180502","20171201",".36","0","0","0","41.90999","14372.88"
"Bitauto Holdings Limited","BITA",".5",".01","2","1",".28","1",".73",".1","1.02","","203.4","19.94","","0","-.15","","","-91.15","NYSE","12","Computer and Technology","Internet - Delivery Services","-15.38","-30.3","-12.69","20180510","20171201",".11","","","","1.4917","1458.91"
"Beijing Enterprises Holdings Ltd.","BJINY","","","","","","","7.04","7.12","7.62","","7.51","7.01","","2.2","","","0","0","OTC","12","Utilities","Utility - Gas Distribution","","","","20180330","","","","","","","6745.66"
"The Bank of New York Mellon Corporation","BK",".97","1","8","7","1.05","7","3.55","4.03","4.43","13.95","12.49","11.37","1.61","1.91",".25","0",".13","-.33","NYSE","12","Finance","Banks - Major Regional","0","5.38","3.73","20180419","20171201",".91","1.17","0","-1.08","42.866","50840.86"
"Brookdale Senior Living Inc.","BKD","-.22","-.24","3","2","-.24","2","-3.43","-.83","-.68","","","","","0","-.12","0","0","0","NYSE","12","Medical","Medical - Nursing Homes","-8.33","4","-63.96","20180514","20171201","-.26","0","0","0","74.79","1259.37"
"Buckle, Inc. (The)","BKE",".75",".32","1","1",".23","1","1.74","1.73","1.39","12.12","13.03","16.22","","4.43",".1","","0","2.37","NYSE","1","Retail-Wholesale","Retail - Apparel and Shoes","16","5.13","9.12","20180517","20180101",".87","0","-5.88","4.55","0","1101.36"
"The Bank of East Asia Ltd.","BKEAY","","","","","","",".38",".24",".26","","16.84","15.54",".95","3.34",".54","0","0","0","OTC","12","Finance","Banks - Foreign","","","","20180406","","","","","",".98505","11343.85"
"Berkeley Group Holdings PLC Unsponsored ADR","BKGFY","","","","","","","5.68","7.13","4.75","","7.66","11.51","","2.74",".24","","0","0","OTC","4","Finance","Real Estate - Development","","","","","","","","","","11.076","7331.68"
"Black Hills Corporation","BKH","1.57",".43","3","2",".51","2","3.37","3.4","3.47","16.36","15.88","15.57","3.43","3.52",".11","15.58","-.17","-.1","NYSE","12","Utilities","Utility - Electric Power","-8.41","-9.09","-10.3","20180502","20171201",".98","1.73","0","0","63.076","2890.89"
"Bank Hapoalim","BKHYY","","","","","","","","","","12.18","","","","2.1",".16","","","","OTC","12","Finance","Banks - Foreign","","","","20180523","20171201",".66","","","","45.13899","8992.86"
"Black Knight Financial Services, Inc.","BKI",".4",".43","9","6",".45","6","1.37","1.71","1.92","36.14","27.92","24.84","1.86","0",".17","0","0","0","NYSE","12","Business Services","Business - Information Services","2.78","0","2.21","20180502","20171201",".37","0","0","0","44.65999","7161.49"
"Booking Holdings Inc.","BKNG","10.67","16.97","15","13","40.75","13","74.41","87.3","100.21","26.37","23.29","20.29","1.49","0",".18","-10.19",".64",".2","NSDQ","12","Retail-Wholesale","Internet - Commerce","19.41","2.65","10.05","20180508","20171201","16.86","-.35",".41","-.06","47.193","98191.34"
"Bankinter SA","BKNIY","","","","","","",".63",".73",".77","17.65","13.88","13.06","","3.72",".26","","0","0","OTC","12","Finance","Banks - Foreign","","","","20180426","20170901",".19","","","","0","9042.59"
"BankUnited, Inc.","BKU",".72",".75","7","6",".82","6","2.39","3.18","3.22","14.71","12.25","12.11","1.38","2.16",".45","0","1.18","1.19","NYSE","12","Finance","Banks - Major Regional","38.71","5.08","12.71","20180424","20171201",".86",".43","0","0","61.18999","4131.48"
"BLACKLINE INC","BL","-.03","-.08","6","3","-.06","3","-.1","-.28","-.21","","","","","0","-.22","","0","0","NSDQ","12","Computer and Technology","Internet - Software","77.78","83.33","66.11","20180503","20171201",".03","0","0","0","0","2044.83"
"TopBuild Corp.","BLD",".69",".98","4","4","1.19","4","2.75","4.01","4.81","27.75","19.38","16.17","","0",".08","","0","0","NYSE","12","Construction","Building Products - Miscellaneous","3.7","1.22","10.37","20180508","20171201",".84","0","0","0","18.711","2761.81"
"Builders FirstSource, Inc.","BLDR",".15",".53","6","6",".62","6","1.04","1.76","2.16","15.51","11.21","9.1","","0",".01","","-3.67","-1.99","NSDQ","12","Retail-Wholesale","Building Products - Retail","135.29","5.41","67.38","20180514","20171201",".4","-2.95","-1.85","-1.37","82.48699","2248.16"
