Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Tullow Oil PLC","TUWOY","","-.02",".12",".1","","10.5","12","","0","","0","0","OTC","Oils-Energy","12","Oil and Gas - Exploration and Production - International","","","","20180314","56.784","1748.88"
"Grupo Televisa S.A.","TV","-16.26",".49",".46",".63","41.56","37.04","27.26","1.54",".49",".05","-3.85","-15.6","NYSE","Consumer Discretionary","12","Broadcast Radio and Television","-61.54","","","20180425","56.519","9772.61"
"Television Broadcasts Ltd.","TVBCY","","","","","","","","","3.06","","","","OTC","Consumer Discretionary","12","Broadcast Radio and Television","","","","20180404","34.671","1451.97"
"TELEVISION FRAN","TVFCF","",".64",".61","","25.37","24.95","","","0","","","0","OTC","Consumer Discretionary","12","Cable Television","","","","20180315","","3194.16"
"Travis Perkins PLC","TVPKF","","1.5","1.53","1.63","","12.74","11.96","3.64","0","","","-1.61","OTC","Retail-Wholesale","12","Building Products - Retail","","","","20180315","18.201","4916.47"
"Travelport Worldwide Limited","TVPT","","1.32","1.38","1.5","10.15","10.57","9.75","","2.05",".06","-7.98","-1.54","NYSE","Retail-Wholesale","12","Internet - Commerce","52.17","-35.71","18.55","20180508","","1833.55"
"Healthways, Inc.","TVTY","0","1.61","2.16","2.44","24.29","19.14","16.94","1.74","0",".11","20.82","22.67","NSDQ","Medical","12","Medical Services","28.13","27.78","21.83","20180426","0","1643.11"
"Twilio Inc.","TWLO","","-.23","-.12",".07","","","585.86","","0","-.16","86.67","-11.11","NYSE","Computer and Technology","12","Internet - Software","50","0","36.85","20180501","0","3864.37"
"Canopy Growth Corporation","TWMJF","","","","","","","","","0","-.42","","","OTC","Medical","3","Medical - Products","","","","20180626","1.18879","5014.9"
"HOSTESS BRANDS","TWNK","",".61",".68",".83","24.73","21.52","17.58","","0",".29","11.78","2.42","NSDQ","Consumer Staples","12","Food - Confectionery","13.33","-30.77","-7.24","20180508","40.151","1898.31"
"Two Harbors Investments Corp","TWO","","2.08","1.88","1.87","10.2","8.3","8.34","","12.05",".47","0",".53","NYSE","Finance","12","REIT and Equity Trust","0","-3.77","4.11","20180502","29.825","2736.85"
"Taylor Wimpey PLC Unsponsored ADR","TWODY","0","2.62","2.79","2.89","","9.8","9.46","1.69","6.08",".14","0","0","OTC","Construction","12","Building Products - Home Builders","","","","","3.06259","8953.72"
"2U, Inc.","TWOU","0","-.1","-.13",".05","","","1759","","0","-.1","-34.78","-6.78","NSDQ","Computer and Technology","12","Internet - Software","7.69","6.25","5.57","20180503","5.49949","4636.35"
"Twitter, Inc.","TWTR","0",".4",".6",".72","73.96","59.17","49.44","2.75","0","-.04","10","7.4","NYSE","Computer and Technology","12","Internet - Software","35.71","66.67","153.1","20180425","25.29299","26657.11"
"Time Warner Inc.","TWX","-14.97","6.23","7.67","8.09","15.09","12.61","11.96","1.51","1.66",".17","-.12","1.45","NYSE","Consumer Discretionary","12","Media Conglomerates","11.11","15.19","13.34","20180502","39.24399","75450.64"
"Ternium S.A.","TX","","4.32","3.53","3.62","7.55","9.66","9.42","","2.94",".09","-5.12","-6.17","NYSE","Basic Materials","12","Steel - Producers","100","50","56.65","20180424","23.374","6824.14"
"TherapeuticsMD, Inc.","TXMD","","-.37","-.38","-.05","","","","","0","-4.58","-152.08","-13.53","NSDQ","Medical","12","Medical - Drugs","-11.11","22.22","2.78","20180501","0","1157.95"
"Texas Instruments Incorporated","TXN","0","4.36","4.97","5.67","26.14","22.46","19.67","2.34","2.22",".25","0","0","NSDQ","Computer and Technology","12","Semiconductor - General","0","12.5","7.04","20180424","25.708","109820.2"
"Texas Roadhouse, Inc.","TXRH","0","1.93","2.36","2.65","29.97","25.06","22.29","1.98","1.42",".06","2.68","1.25","NSDQ","Retail-Wholesale","12","Retail - Restaurants","8.11","0","2.88","20180507","5.754","4212.8"
"Textron Inc.","TXT","0","2.48","3.05","3.54","24.08","19.34","16.65","1.86",".14",".02","-.04","0","NYSE","Aerospace","12","Aerospace - Defense","-3.9","4.84","2.51","20180418","40.838","15444.55"
"Tri-Continental Corporation","TY","","","","","","","","","3.9","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","1538.87"
"ThyssenKrupp AG","TYEKF","","","","","","","","","0","-.02","","","OTC","Basic Materials","9","Steel - Producers","","","","20180315","61.00799","16540.48"
"Tortoise Energy Infrastructure Corp","TYG","","","","","","","","","9.49","","","","NYSE","Finance","11","Financial - Investment Funds","","","","","","1360.99"
"Tyler Technologies, Inc.","TYL","","3.89","4.79","5.4","53.08","43.51","38.64","","0",".2","10.16","9.58","NYSE","Computer and Technology","12","Business - Software Services","2.88","3.96","1.45","20180425","0","7906.15"
"Monotype Imaging Holdings Inc.","TYPE","0",".37",".81",".94","30.62","30.62","26.38","2.04","1.82",".05","3.87","10.45","NSDQ","Computer and Technology","12","Computer - Software","462.5","-20","119.21","20180427","22.01899","1030.7"
"Under Armour, Inc.","UA","","","","","84.67","","","","0","-.01","","","NYSE","Consumer Discretionary","12","Textile - Apparel","22.22","","","20180426","","6738.69"
"Under Armour, Inc.","UAA","36.66",".2",".18",".32","95.44","95.44","54.32","4.43","0","-.01","-5.44","-13.2","NYSE","Consumer Discretionary","12","Textile - Apparel","-100","15.79","10.2","20180426","27.48299","7596.5"
"Uacj Corporation","UACJF","0","1.7","","","10","","","","0","","","","OTC","Industrial Products","3","Metal Products - Distribution","","","","20180316","","1304.86"
"United Continental Holdings, Inc.","UAL","","6.71","7.5","9.42","10.62","9.6","7.64","","0",".06","15.41","1.81","NYSE","Transportation","12","Transportation - Airline","4.48","1.83","4.56","20180416","59.05099","20498.44"
"UBE Industries, Ltd. Unsponsored ADR","UBEOY","",".9","2.75","2.77","11.08","5.38","5.34","","0","","0","0","OTC","Basic Materials","3","Chemical - Diversified ","","","","20180314","","3141.4"
"Ubiquiti Networks, Inc.","UBNT","0","3.01","3.56","3.86","21.76","19.62","18.09","1.06","0",".3","4.04","3.19","NSDQ","Computer and Technology","6","Wireless Equipment","-6.17","16.46","4.61","20180503","48.75799","5425.65"
"UBS Group AG","UBS","","1.37","1.7","1.92","16.56","10.91","9.66","","3.23",".03","-1.54","-1.16","NYSE","Finance","12","Banks - Foreign","","","","20180427","73.08899","71493.76"
"UbiSoft Entertainment Inc.","UBSFY","",".32",".43",".65","","40.74","26.82","","0",".07","2.62","-1.53","OTC","Consumer Discretionary","3","Gaming","","","","","34.594","9793.33"
"Union Bankshares Corporation","UBSH","","1.86","2.51","2.89","20.47","15.6","13.53","","2.15",".18","0","0","NSDQ","Finance","12","Banks - Southeast","1.96","0",".54","20180418","28.898","2571.21"
"United Bankshares, Inc.","UBSI","0","1.9","2.49","2.61","19.48","15.01","14.35","1.88","3.64",".2","0","0","NSDQ","Finance","12","Banks - Southeast","3.92","-1.82","-6.34","20180426","31.843","3928.56"
"United Community Banks, Inc.","UCBI","","1.63","2.22","2.48","20.47","15.04","13.44","","1.2",".14",".81",".57","NSDQ","Finance","12","Banks - Northeast","2.44","0","1.27","20180425","32.41799","2639.08"
"UCB SA","UCBJF","-61.54","5.23","5.73","6.49","","14.34","12.66","2.87","0","","","1.6","OTC","Medical","12","Medical - Drugs","","","","20180315","21.88299","15979.84"
"UDG HEALTHCARE","UDHCF","0",".36",".44",".49","","26.25","23.84","3.32","1.14","","0","0","OTC","Medical","9","Medical Services","","","","","","2901.81"
"United Internet AG","UDIRF","","2.39","2.68","3.14","28.55","25.35","21.64","","0","","-1.26",".75","OTC","Computer and Technology","12","Internet - Services","","","","20180322","","13929.75"
"United Dominion Realty Trust, Inc.","UDR","-1.85","1.86","1.93","2.03","18.89","18.27","17.36","3.27","3.51",".12","-.29","-1.02","NYSE","Finance","12","REIT and Equity Trust - Residential","0","0","0","20180423","61.96799","9471.41"
"Urban Edge Properties","UE","","1.34","1.38","1.48","16.31","15.9","14.77","","4.03",".16","-4.52","-4.84","NYSE","Finance","12","REIT and Equity Trust - Retail","0","-2.86","-2.14","20180502","61.233","2488.21"
"Universal Entertainment Corp.","UETMF","","","","","","","","","0","","","","OTC","Consumer Discretionary","3","Gaming","","","","","","3940.78"
"United Fire Group, Inc","UFCS","","","","","54.73","","","","2.33",".05","","","NSDQ","Finance","12","Insurance - Property and Casualty","0","","","20180502","0","1199.77"
"Universal Forest Products, Inc.","UFPI","-50","1.87","2.35","2.74","7.13","14.31","12.27","2.86","1.01",".03","","7.31","NSDQ","Construction","12","Building Products - Wood","14.69","-11.35","","20180417","12.932","2058.27"
"Domtar Corporation","UFS","0","2.67","3","2.93","17.91","15.5","15.89","3.1","3.56","-.05","11.41","4.89","NYSE","Basic Materials","12","Paper and Related Products","-7.25","41.1","23.6","20180426","31.25699","2919.81"
"UGI Corporation","UGI","","2.31","2.58","2.75","18.51","17.15","16.11","2.14","2.26",".07","1.35","-1.34","NYSE","Utilities","9","Utility - Gas Distribution","9.78","0","-5.9","20180507","49.84199","7655.88"
"Ultrapar Participacoes S.A.","UGP","",".9","1.08","1.24","25.03","20.86","18.17","","2.43",".02","0","0","NYSE","Oils-Energy","12","Oil and Gas - Production and Pipelines","0","0","-1.39","20180509","50.92399","12535.81"
"Amerco","UHAL","","21.83","22.65","22.82","21.56","14.88","14.77","","0",".12","0","0","NSDQ","Transportation","3","Transportation - Equipment and Leasing","-74.57","-11.42","-40.42","20180523","50.58399","6606.85"
"Universal Health Services, Inc.","UHS","82.3","7.35","9.56","10.39","16.44","13.21","12.16","1.21",".32",".07","14","12.4","NYSE","Medical","12","Medical - Hospital","8.7","-3.53",".21","20180424","40.936","11904.16"
"Unilever PLC","UL","0","2.69","2.88","","","18.7","","2.39","3.27",".11","","0","NYSE","Consumer Staples","12","Soap and Cleaning Materials","","","","","0","66342.97"
"Ulta Beauty Inc.","ULTA","0","8.35","10.55","12.71","27.03","19.68","16.33","1.01","0","","-2.54","-.28","NSDQ","Retail-Wholesale","1","Retail - Miscellaneous","1.8","2.81","4.12","20180315","0","12663.24"
"The Ultimate Software Group, Inc.","ULTI","0","3.62","5.44","6.51","65.51","46.24","38.63","2.09","0",".01",".77","1.37","NSDQ","Computer and Technology","12","Computer - Software","27.59","19.32","12.96","20180424",".85552","7690.76"
"UMB Financial Corporation","UMBF","0","3.61","4.51","4.93","20.35","17.07","15.59","1.52","1.51",".24","0","0","NSDQ","Finance","12","Banks - Midwest","10.99","5.38","5.04","20180424","3.5067","3849.22"
"United Microelectronics Corporation","UMC","","","","","20","","","","2.21",".06","","","NYSE","Computer and Technology","12","Electronics - Semiconductors","","","","20180425","19.624","6356.65"
"Umpqua Holdings Corporation","UMPQ","0","1.03","1.35","1.58","21.14","16.93","14.41","1.99","3.15",".2","-.24","-1.01","NSDQ","Finance","12","Banks - West","6.9","3.45","-3.15","20180418","22.71699","5032.63"
"Unilever NV","UN","0","2.74","2.89","3.14","","18.99","17.48","1.89","2.76",".11","0","0","NYSE","Consumer Staples","12","Soap and Cleaning Materials","","","","","0","94121.37"
"UNICREDITO SPA","UNCFF","","1.57","1.7","2.46","","12.25","8.46","","0","","2.5","6.92","OTC","Finance","12","Banks - Foreign","","","","20180315","","46359"
"Unifirst Corporation","UNF","0","4.52","5.41","6.04","29.46","29.95","26.82","3",".09",".04","0","0","NYSE","Industrial Products","8","Uniform and Related","13.48","17.07","10.24","20180404","0","3287.83"
"United Natural Foods, Inc.","UNFI","0","2.54","2.94","3.34","16.13","15.47","13.64","2.49","0",".01","6.89","4.42","NSDQ","Consumer Staples","7","Food - Miscellaneous","33.96","3.33","10.74","20180605","19.71199","2292.6"
"UnitedHealth Group Incorporated","UNH","0","9.99","12.47","14.02","22.1","17.86","15.89","1.3","1.35",".05",".12","0","NYSE","Medical","12","Medical - HMOs","3.6","3.5","4.8","20180417","38.36899","215566.27"
"UNICHARM CORP","UNICY","",".15","","","34.91","","","",".54","","","","OTC","Consumer Discretionary","12","Consumer Products - Discretionary","","","","20180314","12.211","17336.8"
"Communications Sales & Leasing,Inc.","UNIT","0","2.51","2.54","2.61","6.69","6.63","6.46",".89","14.23","-.01","-1.14","-3.78","NSDQ","Finance","12","REIT and Equity Trust - Other","33.33","-1.56","30.71","20180503","","2959.48"
"Unum Group","UNM","0","4.22","5.17","5.54","11.82","9.8","9.15","1.4","1.82",".09",".65",".56","NYSE","Finance","12","Insurance - Accident and Health","4.63","4.81","3.85","20180425","22.239","11215.73"
"Union Pacific Corporation","UNP","0","5.79","7.49","8.34","23.56","18.24","16.39","1.71","2.14",".5",".45","-.36","NYSE","Transportation","12","Transportation - Rail","-.65",".67","3.3","20180426","39.37599","106499.82"
"UNIBAIL-RODAMCO","UNRDY","","","","","","","","","3.64","","","","OTC","Finance","12","Real Estate - Operations","","","","","","23416.23"
"Unit Corporation","UNT","",".51","1.36","1.39","37.89","15.1","14.72","","0",".16","-27.23","-6.71","NYSE","Oils-Energy","12","Oil and Gas - Field Services","10","-9.09","-4.3","20180503","37.873","1085.65"
"Univar Inc.","UNVR","-37.09","1.03","1.72","2.01","24.75","17.74","15.13","2.07","0",".01","2.31","14.59","NYSE","Basic Materials","12","Chemical - Diversified ","30.77","56.52","20.83","20180504","72.121","4295.63"
"United Overseas Bank Ltd.","UOVEY","0","2.99","3.59","3.91","4.76","12.23","11.23","4.08","2.33","","11.4","8.13","OTC","Finance","12","Banks - Foreign","","","","20180316","42.068","36506.86"
"UPM-Kymmene Corp.","UPMKY","0","2.13","2.54","2.54","18.04","13.99","13.99","3.5","1.93","",".99","-.39","OTC","Basic Materials","12","Paper and Related Products","","","","20180313","12.23299","18968.94"
"United Parcel Service, Inc.","UPS","0","5.99","7.23","7.8","18.09","15.06","13.97","1.63","3.34",".07","-.02","-.58","NYSE","Transportation","12","Transportation - Air Freight and Cargo","1.21",".69","2.91","20180426","95.166","93838.27"
"Urban Outfitters, Inc.","URBN","0","1.58","2.25","2.41","20.99","15.6","14.57","1.3","0",".03","10.67","16.85","NSDQ","Retail-Wholesale","1","Retail - Apparel and Shoes","9.52","24.24","8.48","20180515","0","3795.2"
"United Rentals, Inc.","URI","0","10.6","15.22","17.02","17.61","12.27","10.96",".66","0",".2","-.72","-1.06","NYSE","Construction","12","Building Products - Miscellaneous","0","8.33","3.68","20180418","73.72899","15756.74"
"ALPS Liberty All-Star Equity Fund","USA","","","","","","","","","0","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","1232.67"
"USA Compression Partners, LP","USAC","",".26",".52",".55","110.13","33.88","32.04","","11.92",".04","-27.63","-26.76","NYSE","Oils-Energy","12","Oil and Gas - Mechanical and and Equitment","-36.36","0","-49.09","20180503","55.25999","1095.86"
"U.S. Bancorp","USB","0","3.42","4.05","4.36","16.04","13.58","12.62","1.81","2.18",".26",".08",".46","NYSE","Finance","12","Banks - Major Regional","1.15","0","1.21","20180418","39.37599","90871.13"
"U S Concrete, Inc.","USCR","0","3.33","5.36","6.9","22.17","12.36","9.61","1.24","0",".02","5.13","4.14","NSDQ","Construction","12","Building Products - Concrete and Aggregates","-40.48","-23.85","41.79","20180503","68.83599","1104.32"
"US Foods Holding Corp.","USFD","3.03","1.37","2.05","2.34","24.78","16.72","14.63",".89","0",".02","14.4","8.78","NYSE","Consumer Staples","12","Food - Miscellaneous","2.33","2.63","2.71","20180508","57.006","7358.01"
"USG Corporation","USG","23.47","1.67","2.25","2.66","19.48","15.7","13.27","1.06","0",".03","-.96",".05","NYSE","Construction","12","Building Products - Miscellaneous","29.27","0","-1.01","20180426","36.88","4972.24"
"United States Cellular Corporation","USM","0","-3.18","1.05",".79","77.57","37.68","50.08","37.68","0","0","105.19","23.17","NYSE","Computer and Technology","12","Wireless National","162.5","1000","306.54","20180504","30.565","3486.34"
"USANA Health Sciences, Inc.","USNA","","3.7","4.25","","20.08","18.99","","","0",".06","","0","NYSE","Medical","12","Medical - Drugs","-3.33","13.74","-.42","20180501","0","1940.79"
"Usinas Siderurgicas de Minas Gerais SA","USNZY","","","","","","","","","0","","","","OTC","Basic Materials","12","Steel - Producers","","","","20180316","31.46199","1818.67"
"US Commodity Funds United States Oil Fund","USO","","","","","","","","","0","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","1969.3"
"U.S. Physical Therapy, Inc.","USPH","0","2.08","2.4","2.68","41.3","35.63","31.9","3.17",".94",".05","1.13","2.24","NYSE","Medical","12","Medical - Outpatient and Home Healthcare","4.26","-7.69","-.26","20180705","43.64699","1075.69"
"UNITE Group PLC","UTGPF","",".41",".47",".54","","22.74","20.19","","0","","4.9","7.95","OTC","Finance","12","Real Estate - Operations","","","","20180314","","2840.94"
"United Therapeutics Corporation","UTHR","","12.71","12.46","10.83","9.07","9.32","10.72","","0",".24","14.78","7.03","NSDQ","Medical","12","Medical - Drugs","3.18","56.36","-16.3","20180425","10.63","5018.83"
"United Technologies Corporation","UTX","0","6.61","7.05","7.74","19.75","18.65","17","2.16","2.13",".08","-.06",".18","NYSE","Conglomerates","12","Diversified Operations","2.56","2.98","4.13","20180425","44.428","105170.85"
"United Utilities Group PLC","UUGRY","","","","","","","","","5.14",".25","","","OTC","Utilities","3","Utility - Electric Power","","","","","70.77899","6728.53"
"UNIVERSAL INSURANCE HOLDINGS INC","UVE","","","","","10.95","","","","1.71",".14","","","NYSE","Finance","12","Insurance - Property and Casualty","","","","20180424","2.8399","1141.77"
"Universal Corporation","UVV","","","","","13.28","","","","4.35",".05","","","NYSE","Consumer Staples","3","Tobacco","","","","20180522","21.20999","1267.31"
"Visa Inc.","V","0","3.42","4.36","5.13","33.58","28.5","24.22","1.64",".68",".36",".04","-.01","NYSE","Business Services","9","Financial Transaction Services","10.2","5.88","8.11","20180419","33.227","256001.13"
"Marriot Vacations Worldwide Corporation","VAC","","5.38","6.94","7.71","25.53","21.31","19.17","","1.08",".12","18.52","13.44","NYSE","Consumer Discretionary","12","Hotels and Motels","34.48","23.68","22.13","20180503","51.173","3922.11"
"VALE S.A.","VALE","","1.22","1.33","1.34","9.63","9.8","9.67","","1.89",".16","-3.77","13.33","NYSE","Basic Materials","12","Mining - Iron","56.52","2.56","12.6","20180426","31.70599","67829.48"
"Varian Medical Systems, Inc.","VAR","0","4.03","4.31","4.78","31.02","29.38","26.48","3.67","0",".09","0","0","NYSE","Medical","9","Medical - Instruments","8.16","-8.4","2.59","20180425","0","11554.05"
"Visteon Corporation","VC","10.33","6.23","6.6","7.76","19.92","18.61","15.85","1.12","0",".06","-4.08","-5.2","NSDQ","Auto-Tires-Trucks","12","Automotive - Original Equipment","-5.2","13.6","11.04","20180426","31.318","3800.29"
"Vinci SA","VCISY","","","","","","","","","1.69",".07","","","OTC","Construction","12","Building Products - Heavy Construction","","","","","48.825","59209.41"
"Vina Concha Y Toro","VCO","","","","","23.5","","","","1.63","","","","NYSE","Consumer Staples","12","Beverages - Alcohol","","","","20180330","17.36599","1553.76"
"VINDA INTL","VDAHF","","","","","","","","","0","","","","OTC","Consumer Discretionary","12","Consumer Products - Discretionary","","","","","","2400.32"
"Vedanta Resources Plc","VDNRF","",".7","1.04","1.35","","9.23","7.11","","15","0",".75","-.95","OTC","Basic Materials","3","Mining - Miscellaneous","","","","","62.451","2618.65"
"Vedanta  Limited","VEDL","","","","","15.01","","","","5.53",".08","","","NYSE","Basic Materials","3","Mining - Miscellaneous","","","","20180313","27.59399","14460.3"
"Veeva Systems Inc.","VEEV","30.63",".91","1.32","1.54","83.48","58.92","50.53","3.47","0",".21","29.13","30.91","NYSE","Computer and Technology","1","Internet - Software","9.52","13.64","15.1","20180524","0","10973.87"
"Veolia Environnement SA","VEOEY","-2.11","1.27","1.52","","","15.72","","1.41","2.99",".02","","2.36","OTC","Utilities","12","Utility - Water Supply","","","","","51.754","13464.42"
"VimpelCom Ltd.","VEON","",".06",".35",".55","","7.57","4.82","","9.6","-.05","15.79","-.94","NSDQ","Utilities","12","Diversified Communication Services","","","","20180402","71.703","4655.34"
"VEREIT Inc.","VER","",".71",".71",".71","9.49","9.93","9.82","","7.83",".03","-2.94","-2.19","NYSE","Finance","12","REIT and Equity Trust - Other","3.53","5.56","3.66","20180503","38.754","6839.57"
"Vermilion Energy Inc.","VET","",".53",".76",".93","62.86","41.08","33.98","","6.57",".06","-20.94","2","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - International","-60","0","","20180427","45.462","3838.2"
"VF Corporation","VFC","-2.94","3.03","3.48","3.79","23.77","21.02","19.33","2.1","2.51",".05","-2.31",".7","NYSE","Consumer Discretionary","12","Textile - Apparel","-.98","9.82","3.1","20180427","37.033","29041.7"
"Vanguard Financials ETF","VFH","","","","","","","","","1.45","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","8429.47"
"Vonage Holdings Corp.","VG","0",".28",".37",".4","40.7","29.7","27.61","5.94","0","-.03","22.46","8.82","NYSE","Computer and Technology","12","Internet - Software and Services","-11.11","0","-2.78","20180508","31.131","2513.1"
"Vector Group Ltd.","VGR","",".66",".6",".78","32.7","34.88","26.83","","7.64",".05","","-9.09","NYSE","Consumer Staples","12","Tobacco","-25","0","10.29","20180504","","2812.27"
"Valhi, Inc.","VHI","","","","","11.78","","","","1.23","","","","NYSE","Basic Materials","12","Chemical - Diversified ","","","","20180316","64.52899","2197.83"
"Viacom Inc.","VIA","","","","","10.27","","","","2.07",".14","","","NSDQ","Consumer Discretionary","9","Media Conglomerates","","","","20180503","60.87699","15530.36"
"Flughafen Wien AG","VIAAY","","","","","17.73","","","","1.05","","","","OTC","Transportation","12","Transportation - Airline","","","","20180314","0","3575.04"
"Viacom Inc.","VIAB","3.5","3.86","4.04","4.34","8.73","8.13","7.56",".95","2.44",".14","2.07","1.92","NSDQ","Consumer Discretionary","9","Media Conglomerates","8.42","-9.41","11.09","20180503","60.87699","13204.83"
"Viavi Solutions Inc.","VIAV","0",".37",".39",".52","25.71","26.85","20.27","1.34","0",".21","0","0","NSDQ","Computer and Technology","6","Communication - Components","28.57","57.14","41.07","20180501","32.46699","2381.24"
"VICI Properties Inc.","VICI","",".33","1.45","1.5","","13.4","12.95","","0","","","","NYSE","Finance","12","REIT and Equity Trust - Other","","","","20180308","","7171.47"
"Vicor Corporation","VICR","","","","","","","","","0","0","","","NSDQ","Computer and Technology","12","Electronics - Miscellaneous Components","","","","20180424","0","1050.35"
"Vipshop Holdings Limited","VIPS","",".72",".85","1.12","25.64","21.72","16.56","","0",".03","3.72","1.19","NYSE","Computer and Technology","12","Internet - Delivery Services","4.76","-6.67","-4.23","20180521","22.32099","12112.16"
"Virtu Financial, Inc.","VIRT","",".49","1.59","1.96","55.68","20.66","16.76","","2.92",".02","0","0","NSDQ","Finance","12","Financial - Miscellaneous Services","69.23","60","18.66","20180503","55.17499","6149.85"
"Telefonica Brasil S.A.","VIV","0",".83","1.06","1.24","18.36","14.9","12.78","1.18","5.84",".11","-5","-3.2","NYSE","Utilities","12","Diversified Communication Services","12","4.55","-3.93","20180508","7.24849","26664.48"
"Vivendi SA","VIVHY","-34.9",".95","1.17","1.37","22.67","22.87","19.6","1.55","1.19",".1","1.11","-6.02","OTC","Utilities","12","Diversified Communication Services","-41.67","","","20180510","20.163","34676.05"
"Valeo S.A.","VLEEY","17.51","2.46","2.59","2.95","","13.12","11.5","1.34","1.68","","-10.06","-8.82","OTC","Auto-Tires-Trucks","12","Automotive - Original Equipment","","","","20180315","34.71599","16225.85"
"Volkswagen AG","VLKAY","0","5.41","6.37","6.06","13.05","6.23","6.54",".33",".81","","0","0","OTC","Auto-Tires-Trucks","12","Automotive - Foreign","-19.41","7.58","","20180313","0","99407.79"
"Valero Energy Corporation","VLO","0","4.88","7.16","7.55","18.61","12.95","12.27","1.11","3.45",".04",".36","-.39","NYSE","Oils-Energy","12","Oil and Gas - Refining and Marketing","9.43","4.37","10.26","20180424","27.64599","40151.09"
"Vallourec SA","VLOWY","","","","","","","","","0","","","","OTC","Oils-Energy","12","Oil and Gas - Speciality - International","","","","","24.62199","2572.06"
"Valero Energy Partners LP","VLP","0","2.79","2.94","3.38","13.91","13.11","11.4","1.19","5.27",".53","0","0","NYSE","Oils-Energy","12","Oil and Gas - Production Pipeline - MLB","-1.39","-4.41","-2.84","20180427","86.105","2722.4"
"Voestalpine AG","VLPNY","",".57","1","1.09","12.08","10.63","9.75","","1.51",".05","0","0","OTC","Basic Materials","3","Steel - Speciality","","","","20180607","36.094","9372.95"
"AB Volvo","VLVLY","0","1.24","1.52","1.62","14.98","12.09","11.41",".81","1.44",".06","-1.22","-.65","OTC","Auto-Tires-Trucks","12","Automotive - Original Equipment","-11.43","22.22","12.69","20180424","40.749","37431.33"
"Valley National Bancorp","VLY","",".68",".88","1.01","18.97","15.06","13.15","","3.31",".17","0","0","NYSE","Finance","12","Banks - Northeast","5.88","-5.56",".08","20180425","48.205","4393.25"
"Vulcan Materials Company","VMC","31.57","3.01","4.45","5.66","40.06","27.21","21.36","1.24",".93",".15","5.27","5.2","NYSE","Construction","12","Building Products - Concrete and Aggregates","2.78","9.47","10.14","20180509","36.152","16029.05"
"Valmont Industries, Inc.","VMI","0","6.98","7.98","9.17","21.36","18.51","16.11","1.85","1.01",".04","3.55","-1.03","NYSE","Industrial Products","12","Steel - Pipe and Tube","-.6","-3.7",".89","20180418","39.56","3354.09"
"Vmware, Inc.","VMW","4.61","5.14","5.95","6.64","24.46","21.39","19.16","1.74","0",".07","7.91","6.88","NYSE","Computer and Technology","1","Computer - Software","3.07","5.51","3.8","","33.84","51356.27"
"Vornado Realty Trust","VNO","0","3.88","3.88","4.05","17.39","17.62","16.88","4.16","3.69",".11","-1.57","-.98","NYSE","Finance","12","REIT and Equity Trust - Other","5.38","1.96",".22","20180507","26.74799","12987.3"
"Viper Energy Partners LP","VNOM","",".98","1.38","1.58","21.37","16.35","14.35","","8.12",".65","-2.05","1.74","NSDQ","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","27.59","9.09","15.86","20180501","9.28129","2579.43"
"Vanguard REIT ETF","VNQ","","","","","","","","","4.63","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","29880.93"
"Venator Materials PLC","VNTR","","2","3.14","3.27","","6.2","5.94",".35","0",".06","12.12","11.76","NYSE","Basic Materials","12","Chemical - Specialty","-7.58","55.56","","20180525","40.206","2068.41"
"Vodafone Group PLC","VOD","1.47",".76","1.37","1.39","","21.15","20.94","1.95","5.97","-.13","-.24","-.24","NSDQ","Computer and Technology","3","Wireless Non-US ","","","","20180201","31.618","77462.26"
"Vonovia SE Unsponsored ADR","VONOY","0","1.04","1.18","1.34","","19.7","17.35","2.19","2.5","1.01","8.94","6.31","OTC","Finance","12","Real Estate - Operations","","","","","0","22557.15"
"KONINKLIJKE VPK","VOPKY","","","","","","","","","1.94",".18","","","OTC","Oils-Energy","12","Oil and Gas - Drilling","","","","20180518","40.88","6096.45"
"Voya Financial, Inc.","VOYA","0","2.76","4.3","5.34","18.87","12.54","10.11",".69",".07","-.35","-.14","-.44","NYSE","Finance","12","Insurance - Life Insurance","20.83","-43.33","-8.56","20180502","31.127","9283.04"
"Validus Holdings, Ltd.","VR","0","-.23","4.2","4.63","","16.12","14.64","1.79","2.25","-.02","1.65","1.61","NYSE","Finance","12","Insurance - Brokerage","-94.25","-2.22","-26.29","20180425","42.54899","5370.34"
