Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"CSX Corporation","CSX","0","2.21","3.1","3.61","25.04","18.59","15.93","1.39","1.53",".48",".79","-.32","NSDQ","Transportation","12","Transportation - Rail","14.29","0","10.34","20180418","44.472","51095.93"
"CAPITA PLC","CTAGY","0","2.59","1.4","1.63","","7.03","6.06",".54","15.92","","0","0","OTC","Business Services","12","Business - Services","","","","20180315","","1641.7"
"Cintas Corporation","CTAS","0","4.56","5.45","6.53","34.77","32.41","27.03","2.7",".92",".09","0","0","NSDQ","Industrial Products","5","Uniform and Related","3.97","14.73","8.17","20180328","49.81499","18806.99"
"Cooper Tire & Rubber Company","CTB","","3.21","3.13","3.67","10.4","10.3","8.8","","1.3",".03","-2.24","-16.79","NYSE","Auto-Tires-Trucks","12","Rubber - Tires","-19.35","38.82","2.84","","19.975","1638.23"
"CenturyLink, Inc.","CTL","0","1.56",".86","1.04","11.4","20.93","17.36","-10.47","11.99",".08","-14.64","-27.6","NYSE","Computer and Technology","12","Wireless National","-18.18","-6.67","-8.22","20180502","61.347","19278.91"
"Catalent, Inc.","CTLT","0","1.38","1.65","1.87","25.73","26.31","23.26","2.31","0",".05",".59",".55","NYSE","Medical","6","Medical - Drugs","32.35","16.67","16.44","20180503","72.662","5798.03"
"CytomX Therapeutics, Inc.","CTMX","","-1.6","-1.45","-2.15","","","","","0","-.6","12.92","-4.56","NSDQ","Medical","12","Medical - Biomedical and Genetics","104.65","-100","-3.52","20180504","0","1321.27"
"Citic Ltd.","CTPCY","","","","","","","","","2.64","","","","OTC","Conglomerates","12","Diversified Operations","","","","20180322","57.636","42209.98"
"CareTrust REIT, Inc.","CTRE","0","1.16","1.28","1.38","11.79","10.96","10.13","2.19","5.27",".19","-2.46","-1.69","NSDQ","Finance","12","REIT and Equity Trust - Other","0","0","1.75","20180501","48.45299","1068.22"
"Ctrip.com International, Ltd.","CTRP","0",".95","1.05","1.61","58.4","46.61","30.53","2.33","0","","0","0","NSDQ","Retail-Wholesale","12","Internet - Commerce","70.83","","","20180314","28.65099","25179.55"
"Country Garden Holdings Co.","CTRYY","","","","","","","","","1.69","","","","OTC","Finance","12","Real Estate - Development","","","","20180328","54.979","43088.48"
"Cognizant Technology Solutions Corporation","CTSH","0","3.71","4.52","5.15","22.24","18.6","16.32","1.48",".95",".1","0","0","NSDQ","Computer and Technology","12","Business - Software Services","6.19","3.16","3.17","20180504","6.1406","49437.45"
